offer_id,image_1_primary,image_2_design,image_3_specs,image_4_rooms,image_5_texture
ЦБ-00032182,images/sku/cb-00032182/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032171,images/sku/cb-00032171/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032170,images/sku/cb-00032170/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032169,images/sku/cb-00032169/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032168,images/sku/cb-00032168/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032167,images/sku/cb-00032167/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032166,images/sku/cb-00032166/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032165,images/sku/cb-00032165/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032164,images/sku/cb-00032164/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032163,images/sku/cb-00032163/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032158,images/sku/cb-00032158/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032181,images/sku/cb-00032181/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032180,images/sku/cb-00032180/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032179,images/sku/cb-00032179/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032178,images/sku/cb-00032178/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032177,images/sku/cb-00032177/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032176,images/sku/cb-00032176/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032175,images/sku/cb-00032175/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032174,images/sku/cb-00032174/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032173,images/sku/cb-00032173/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032172,images/sku/cb-00032172/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032159,images/sku/cb-00032159/01-size-main.png,images/common/dots-1-do01/02-design-main.png,images/common/dots-1-do01/03-specs.png,images/common/dots-1-do01/04-rooms.png,images/common/dots-1-do01/05-texture.png
ЦБ-00032147,images/sku/cb-00032147/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032148,images/sku/cb-00032148/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032149,images/sku/cb-00032149/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032150,images/sku/cb-00032150/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032151,images/sku/cb-00032151/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032152,images/sku/cb-00032152/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032153,images/sku/cb-00032153/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
