offer_id,width_m,length_m,area_m2,primary_image,image_2_characteristics,image_3_usage,image_4_practicality,image_5_texture,video
ЦБ-00032182,3.0,1.0,3.0,ozon-final/dots-1-do01/images/sku/cb-00032182/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032171,3.0,1.5,4.5,ozon-final/dots-1-do01/images/sku/cb-00032171/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032170,3.0,2.0,6.0,ozon-final/dots-1-do01/images/sku/cb-00032170/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032169,3.0,2.5,7.5,ozon-final/dots-1-do01/images/sku/cb-00032169/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032168,3.0,3.0,9.0,ozon-final/dots-1-do01/images/sku/cb-00032168/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032167,3.0,3.5,10.5,ozon-final/dots-1-do01/images/sku/cb-00032167/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032166,3.0,4.0,12.0,ozon-final/dots-1-do01/images/sku/cb-00032166/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032165,3.0,4.5,13.5,ozon-final/dots-1-do01/images/sku/cb-00032165/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032164,3.0,5.0,15.0,ozon-final/dots-1-do01/images/sku/cb-00032164/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032163,3.0,5.5,16.5,ozon-final/dots-1-do01/images/sku/cb-00032163/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032158,3.0,6.0,18.0,ozon-final/dots-1-do01/images/sku/cb-00032158/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032181,3.5,1.0,3.5,ozon-final/dots-1-do01/images/sku/cb-00032181/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032180,3.5,1.5,5.25,ozon-final/dots-1-do01/images/sku/cb-00032180/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032179,3.5,2.0,7.0,ozon-final/dots-1-do01/images/sku/cb-00032179/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032178,3.5,2.5,8.75,ozon-final/dots-1-do01/images/sku/cb-00032178/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032177,3.5,3.0,10.5,ozon-final/dots-1-do01/images/sku/cb-00032177/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032176,3.5,3.5,12.25,ozon-final/dots-1-do01/images/sku/cb-00032176/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032175,3.5,4.0,14.0,ozon-final/dots-1-do01/images/sku/cb-00032175/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032174,3.5,4.5,15.75,ozon-final/dots-1-do01/images/sku/cb-00032174/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032173,3.5,5.0,17.5,ozon-final/dots-1-do01/images/sku/cb-00032173/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032172,3.5,5.5,19.25,ozon-final/dots-1-do01/images/sku/cb-00032172/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
ЦБ-00032159,3.5,6.0,21.0,ozon-final/dots-1-do01/images/sku/cb-00032159/01-size-area.png,ozon-final/dots-1-do01/images/common/02-characteristics.png,ozon-final/dots-1-do01/images/common/03-usage.png,ozon-final/dots-1-do01/images/common/04-practicality.png,ozon-final/dots-1-do01/images/common/05-texture-decor.png,ozon-final/dots-1-do01/video/dots-1-universal-hyperframes.mp4
